Sophia Webster| in| signature
Sonam| on| roots
Sonam|worn Ralph| many occasions
Sonam|worn Ralph| occasions
Sonam Kapoor-Ahuja| about| personal style over years
Sonam Kapoor-Ahuja|look| anything
Sonam Kapoor-Ahuja|look| good
client| has| expectations
gown| is| is designed
Sonam Kapoor-Ahuja| From| body shape
look| is| fit
look|fit| purpose
storytelling| has| word
sustainability|become| bedrock
storytelling| has| final word
London|start| Central Saint Martins eponymous label
London|start back| Central Saint Martins label
London|start| Central Saint Martins label
London|start back| Central Saint Martins graduate eponymous label
London|start| Central Saint Martins graduate label
London|start| Central Saint Martins graduate eponymous label
London|start back| Central Saint Martins eponymous label
London|start back| Central Saint Martins graduate label
Central Saint Martins graduate|began| tinkering with metals
Central Saint Martins graduate|began| tinkering
Central Saint Martins graduate|began| tinkering with metals
Central Saint Martins graduate|tinkering| metals
Central Saint Martins graduate|began| tinkering
everything|etched| legends
everything| is| From shark-tooth-shaped earrings to stag-head necklaces etched with urban legends
everything| is| From earrings to necklaces etched with urban legends
everything| is| From shark-tooth-shaped earrings etched with legends
everything|etched| shark-tooth-shaped earrings to stag-head necklaces
everything|etched| urban legends
everything| is| From shark-tooth-shaped earrings to necklaces etched with urban legends
everything| is| From earrings to stag-head necklaces etched with urban legends
everything| is| From shark-tooth-shaped earrings to necklaces etched with legends
everything| is| From shark-tooth-shaped earrings to stag-head necklaces etched with legends
everything| is| etched
everything|etched| earrings to stag-head necklaces
everything| is| From shark-tooth-shaped earrings etched with urban legends
everything| is| From earrings etched with urban legends
everything| is| From earrings to stag-head necklaces etched with legends
everything|etched| shark-tooth-shaped earrings
everything| is| From earrings to necklaces etched with legends
everything| is| From earrings etched with legends
everything|etched| earrings
everything|etched| earrings to necklaces
everything|etched| shark-tooth-shaped earrings to necklaces
Collaborating| is| important
Collaborating| is| so important
history| is| long
headgear| is| sparkling
history| is| as long
Prince Charles|wearing| family heirloom
state dinner| is in| 1989
Catherine Walker| with| pearl
Queen Mary|Knot '| Cambridge Lovers
headpiece|originally belonged| Queen Motherand
Egyptian-style headpiece|originally belonged| Queen Motherand
Egyptian-style headpiece|belonged| Queen Motherand
headpiece|belonged| Queen Motherand
royal family sparklers|include| Lotus Flower tiaraa favourite
oldest tiaras| is in| still use
empress|'s granddaughter| Josephine of Leuchtenberg
empress|'s granddaughter| Josephine of Leuchtenberg
empress|'s granddaughter| Josephine of Leuchtenberg into Swedish royal family
empress| with| granddaughter
empress| has| granddaughter
empress| has| granddaughter
Princess Victoria| to| own wedding in 2010
women| is in| household of King Carl Gustaf
Princess Birgitta| from| 1961 nuptials to own wedding in 2010
Akishino|Kako| brooch
Akishino|Kako| all-white scroll motif
Vogue|dives| treasure trove of royal tiaras
Vogue|dives| treasure trove
Vogue|dives| treasure trove of royal tiaras
Vogue|dives| treasure trove
Vogue|dives| treasure trove of tiaras
Vogue|dives| treasure trove of tiaras
statement|making| watches
perfect watch|accompanying| you
watch|accompanying| you
Scroll|add| your watch collection
Scroll|add| your watch collection
Sonam Kapoor-Ahuja|chose tulle gown| Vera Wang
Sonam Kapoor-Ahuja|chose tulle gown| custom Ralph
Sonam Kapoor-Ahuja|chose tulle gown| Sonam Kapoor-Ahuja second appearance
Sonam Kapoor-Ahuja|chose tulle gown| Sonam Kapoor-Ahuja second appearance on Cannes 2018 carpet
Sonam Kapoor-Ahuja|chose tulle gown| Sonam Kapoor-Ahuja appearance on Cannes 2018 carpet
Sonam Kapoor-Ahuja|chose tulle gown| Sonam Kapoor-Ahuja second appearance on Cannes 2018 red carpet
Sonam Kapoor-Ahuja|making| her mark
Sonam Kapoor-Ahuja|chose| tulle gown
Sonam Kapoor-Ahuja|chose tulle gown| Sonam Kapoor-Ahuja appearance on Cannes 2018 red carpet
Sonam Kapoor-Ahuja|chose tulle gown| Sonam Kapoor-Ahuja appearance
Kapoor-Ahuja| has| soft nude number
Sonam Kapoor-Ahuja| has| has known
Kapoor-Ahuja| has| soft nude number
Sonam Kapoor-Ahuja|look| diamond earrings
Sonam Kapoor-Ahuja|look| heart-shaped yellow diamond earrings
Sonam Kapoor-Ahuja|look| yellow diamond earrings
Sonam Kapoor-Ahuja|look| heart-shaped yellow diamond earrings
Sonam Kapoor-Ahuja|look| heart-shaped diamond earrings
Sonam Kapoor-Ahuja|look| yellow diamond earrings
Sonam Kapoor-Ahuja|look| diamond earrings
Sonam Kapoor-Ahuja|look| heart-shaped diamond earrings
Sonam Kapoor-Ahuja|posted| several pictures of Sonam Kapoor-Ahuja working to Sonam Kapoor-Ahuja advantage
Sonam Kapoor-Ahuja|posted| pictures of Sonam Kapoor-Ahuja working
Sonam Kapoor-Ahuja|posted| several pictures of Sonam Kapoor-Ahuja working
Sonam Kapoor-Ahuja|posted| pictures of Sonam Kapoor-Ahuja working to Sonam Kapoor-Ahuja advantage
Sonam Kapoor-Ahuja|posted| several pictures of Sonam Kapoor-Ahuja
Sonam Kapoor-Ahuja|posted| pictures
Sonam Kapoor-Ahuja|posted| pictures of Sonam Kapoor-Ahuja
Sonam Kapoor-Ahuja|posted| several pictures
Sonam Kapoor-Ahuja|ditched braids| her beauty look
Sonam Kapoor-Ahuja|ditched| braids
Sonam Kapoor-Ahuja|ditched braids| bun
Sonam Kapoor-Ahuja|ditched braids| low messy bun
Sonam Kapoor-Ahuja|ditched| slick braids
Sonam Kapoor-Ahuja|ditched braids| messy bun
Sonam Kapoor-Ahuja|ditched braids| low bun
actor|accentuated| bright eyeshadow with thick dramatic eyelashes
actor|wore eyeshadow| Sonam Kapoor-Ahuja eyelids
actor|wore| bright yellow eyeshadow
actor|accentuated| yellow eyeshadow with thick eyelashes
actor|accentuated| eyeshadow
actor|accentuated| yellow eyeshadow with dramatic eyelashes
actor|accentuated| eyeshadow with thick dramatic eyelashes
actor|accentuated| bright yellow eyeshadow with thick eyelashes
actor|wore| bright eyeshadow
actor|accentuated| bright eyeshadow with thick eyelashes
actor|wore| eyeshadow
actor|accentuated| bright yellow eyeshadow with eyelashes
actor|accentuated| bright yellow eyeshadow with dramatic eyelashes
actor|accentuated| yellow eyeshadow with thick dramatic eyelashes
actor|wore| yellow eyeshadow
actor|accentuated| eyeshadow with eyelashes
actor|accentuated| bright eyeshadow
actor|accentuated| bright eyeshadow with dramatic eyelashes
actor|accentuated| eyeshadow with thick eyelashes
actor|accentuated| eyeshadow with dramatic eyelashes
actor|accentuated| bright eyeshadow with eyelashes
actor|accentuated| yellow eyeshadow
actor|accentuated| bright yellow eyeshadow with thick dramatic eyelashes
actor|accentuated| yellow eyeshadow with eyelashes
actor|accentuated| bright yellow eyeshadow
envy-worthy ensembles|add at_time| yesterday
envy-worthy ensembles|add| Sonam Kapoor-Ahuja
ensembles|add at_time| yesterday
ensembles|add| Sonam Kapoor-Ahuja
Karisma Kapoor|also favoured| colour combination for her day out
Karisma Kapoor|also favoured| interesting colour combination for her day
Karisma Kapoor|favoured| interesting colour combination for her day out
Karisma Kapoor|favoured| colour combination for her day
Karisma Kapoor|favoured| colour combination for her day out
Karisma Kapoor|also favoured| interesting colour combination
Karisma Kapoor|favoured| interesting colour combination
Karisma Kapoor|also favoured| colour combination
Karisma Kapoor|favoured| colour combination
Karisma Kapoor|favoured| interesting colour combination for her day
Karisma Kapoor|also favoured| interesting colour combination for her day out
Karisma Kapoor|also favoured| colour combination for her day
Karisma Kapoor|wore| bold red combo
Karisma Kapoor|wore red combo| touch of black
Karisma Kapoor|wore red combo| touch
Karisma Kapoor|wore red combo| touch of black for Karisma Kapoor dinner
Karisma Kapoor|wore red combo| touch of black for Karisma Kapoor dinner with Karisma Kapoor
Karisma Kapoor|wore| red combo
Karisma Kapoor dinner| is with| Karisma Kapoor
Karisma Kapoor|give wardrobe envy| Cannes
Karisma Kapoor|give| wardrobe envy
look| is with| chunky black Sophia Webster heels
Heavy embellishment|added excitement| look with chunky Sophia Webster heels
Heavy embellishment|added| more excitement
Heavy embellishment|added| excitement
Heavy embellishment|added excitement| look
Heavy embellishment|added excitement| look with black Sophia Webster heels
Heavy embellishment|added excitement| look with Sophia Webster heels
Heavy embellishment|added excitement| look with chunky black Sophia Webster heels
look| is with| oversized black sunglasses
Karisma Kapoor|completed| look with black sunglasses
Karisma Kapoor|completed| look with oversized sunglasses
Karisma Kapoor|completed| look with sunglasses
Karisma Kapoor|completed| look with oversized black sunglasses
Karisma Kapoor|completed| look
Karisma Kapoor| was| Yesterday seen in beige along
Karisma Kapoor|also seen along| beige
Karisma Kapoor| was| Yesterday also seen in beige
Karisma Kapoor|seen at_time| Yesterday
Karisma Kapoor| was| Yesterday seen in earthy beige along with a
Karisma Kapoor| was| Yesterday also seen in beige along
Karisma Kapoor| was| Yesterday seen in earthy beige
Karisma Kapoor| was| Yesterday seen in beige along with a
Karisma Kapoor|also seen| earthy beige
Karisma Kapoor|seen| beige
Karisma Kapoor| was| Yesterday also seen in beige along with a
Karisma Kapoor|also seen| beige
Karisma Kapoor| was| seen along with a
Karisma Kapoor| was| also seen along with a
Karisma Kapoor|also seen along| earthy beige
Karisma Kapoor| was| also seen
Karisma Kapoor| was| Yesterday seen along with a
Karisma Kapoor|seen along| beige
Karisma Kapoor| was| Yesterday seen in earthy beige along
Karisma Kapoor|seen along| earthy beige
Karisma Kapoor|also seen at_time| Yesterday
Karisma Kapoor| was| seen along
Karisma Kapoor| was| Yesterday seen in beige
Karisma Kapoor|seen| earthy beige
Karisma Kapoor| was| also seen along
Karisma Kapoor| was| seen in beige along with a
Karisma Kapoor| was| Yesterday also seen in earthy beige
Karisma Kapoor| was| Yesterday also seen in earthy beige along with a
Karisma Kapoor| was| also seen in earthy beige along with a
Karisma Kapoor|also seen along at_time| Yesterday
Karisma Kapoor| was| seen
Karisma Kapoor|seen along at_time| Yesterday
Karisma Kapoor| was| Yesterday also seen along with a
Karisma Kapoor| was| Yesterday also seen in earthy beige along
Karisma Kapoor| was| also seen in beige along with a
Karisma Kapoor| was| seen in earthy beige along with a
Kapoor|look at_time| yesterday
Kapoor|look| laid-back
Karisma| was| Just like sister Kareena Kapoor Khan spotted out and about in Mumbai
Karisma| was| spotted out and about in Mumbai
Karisma| was| spotted out and in Mumbai
Karisma| was| Just like sister Kareena Kapoor Khan spotted and about in Mumbai
Karisma| was| spotted and in Mumbai
Karisma| was| spotted out and
Karisma|spotted like| Just sister Kareena Kapoor Khan
Karisma|spotted like| Just sister Kareena Kapoor Khan
Karisma|spotted like| Just sister Kareena Kapoor Khan
Karisma| was| Just like sister Kareena Kapoor Khan spotted out and in Mumbai
Karisma| was| like sister Kareena Kapoor Khan spotted out and about in Mumbai
Karisma|spotted like| sister Kareena Kapoor Khan
Karisma| was| Just like sister Kareena Kapoor Khan spotted and in Mumbai
Karisma| was| spotted and
Karisma|spotted like| sister Kareena Kapoor Khan
Karisma| was| spotted
Karisma|spotted like| sister Kareena Kapoor Khan
Karisma| was| spotted and about in Mumbai
Karisma| was| like sister Kareena Kapoor Khan spotted and in Mumbai
Karisma| was| like sister Kareena Kapoor Khan spotted out and in Mumbai
Karisma| was| like sister Kareena Kapoor Khan spotted and about in Mumbai
Karisma Kapoor| has| T-shirt
star|wore tee| black trousers
star|wore| tee
star|wore tee| trousers
star|wore tee| comfortable black trousers
star|wore tee| comfortable trousers
Jacqueline Fernandez|gets| ready
Jacqueline Fernandez|cinched| Karisma Kapoor 's off-duty look
Jacqueline Fernandez|cinched| Karisma Kapoor 's off-duty look with red belt
Jacqueline Fernandez|cinched| Karisma Kapoor 's off-duty look together with thick belt
Jacqueline Fernandez|cinched| Karisma Kapoor 's off-duty look together with red belt
Jacqueline Fernandez|cinched| Karisma Kapoor 's look together
Jacqueline Fernandez|cinched| Karisma Kapoor 's look with thick red belt
Jacqueline Fernandez|cinched| Karisma Kapoor 's look
Jacqueline Fernandez|cinched| Karisma Kapoor 's look together with red belt
Jacqueline Fernandez|cinched| Karisma Kapoor 's look with belt
Jacqueline Fernandez|cinched| Karisma Kapoor 's off-duty look with thick red belt
Jacqueline Fernandez|cinched| Karisma Kapoor 's look together with thick red belt
Jacqueline Fernandez|cinched| Karisma Kapoor 's look with thick belt
Karisma Kapoor| has| off-duty look together with thick red belt
Jacqueline Fernandez|cinched| Karisma Kapoor 's look together with belt
Jacqueline Fernandez|cinched| Karisma Kapoor 's off-duty look with thick belt
Jacqueline Fernandez|cinched| Karisma Kapoor 's look with red belt
Jacqueline Fernandez|cinched| Karisma Kapoor 's off-duty look with belt
Jacqueline Fernandez|cinched| Karisma Kapoor 's look together with thick belt
Jacqueline Fernandez|cinched| Karisma Kapoor 's off-duty look together with thick red belt
Jacqueline Fernandez|cinched| Karisma Kapoor 's off-duty look together with belt
Jacqueline Fernandez|cinched| Karisma Kapoor 's off-duty look together
Jacqueline Fernandez|opted| ponytail
Jacqueline Fernandez|opted| voluminous ponytail
Jacqueline Fernandez|seen| polka
Jacqueline Fernandez|also seen| girly red polka
Jacqueline Fernandez|also seen| red polka
dress|paired| heels
Jacqueline Fernandez|seen| girly red polka
Jacqueline Fernandez| was| also seen
Jacqueline Fernandez| was| seen
dress|paired| white heels
Jacqueline Fernandez|also seen| polka
Jacqueline Fernandez|also seen| girly polka
Jacqueline Fernandez|seen| girly polka
Jacqueline Fernandez|seen| red polka
Kriti Sanon| has| latest outfits
Cannes Film Festival| be| counted
Cannes Film Festival| be| always counted
leggy Padukone|bring| now with rush of Pantone 's colour
leggy Padukone|bring| now with rush of Pantone 's colour of yearultra violet
leggy Padukone|bring| with rush of Pantone 's colour
leggy Padukone|bring| with rush
leggy Padukone|bring| with rush of Pantone 's colour of yearultra violet
Pantone| of| colour of yearultra violet
nothing|says| #GirlBoss
leggy Padukone|bring| now with rush
Turn|shades| la Blanchett
stilettos| are| added
everyone| is in| Bollywood
Kapoor-Ahuja|returned| pantsuit
Kapoor-Ahuja|returned| pretty pastel pantsuit
Kapoor-Ahuja|returned| Mumbai
bite| is in| yet on-point maternity look
Kapoor-Ahuja|returned| pastel pantsuit
Kapoor-Ahuja|returned| Cannes
yesterday| of| best style moments
Kareena Kapoor Khan|seen| another
Kareena Kapoor Khan|seen| one bright outfit
Kareena Kapoor Khan| being| seen in one bright yellow outfit after another
Kareena Kapoor Khan| being| seen
Kareena Kapoor Khan|seen| one yellow outfit
Kareena Kapoor Khan|outing| yesterday
Kareena Kapoor Khan|seen| one bright yellow outfit
Kareena Kapoor Khan|opted| earthier palette
Kareena Kapoor Khan| being| seen in one outfit after another
Kareena Kapoor Khan|seen| one outfit
Kareena Kapoor Khan| being| seen in one bright outfit after another
Kareena Kapoor Khan| being| seen in one yellow outfit after another
Kareena Kapoor Khan|opted| palette
